emotion,gender,id,original_name,trial_type,trial,subject,noise,pas,noise_est,emo_resp
fear,female,09,AF09AFS.png,1,37,1,0.10324,1,0.0978745454545455,NaN
fear,female,14,BF14AFS.png,0,38,1,5,0,0.0978745454545455,NaN
neutral,female,09,AF09NES.png,0,39,1,5,0,0.0978745454545455,NaN
fear,male,24,BM24AFS.png,1,40,1,0.06324,3,0.0978745454545455,1
neutral,male,05,AM05NES.png,0,41,1,5,0,0.0978745454545455,NaN
fear,female,31,AF31AFS.png,1,42,1,0.09808,3,0.0978745454545455,1
neutral,male,24,BM24NES.png,1,43,1,0.13292,0,0.0978745454545455,NaN
fear,female,14,BF14AFS.png,1,44,1,0.13292,1,0.0978745454545455,NaN
neutral,female,31,AF31NES.png,1,45,1,0.09292,1,0.0978745454545455,NaN
neutral,female,14,BF14NES.png,1,46,1,0.05292,1,0.0978745454545455,NaN
neutral,female,31,AF31NES.png,1,47,1,0.01292,2,0.0978745454545455,0
